IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,0.105,0.106,0.106,0.106,0.106
1,0.285,0.284,0.284,0.284,0.284
2,0.464,0.464,0.464,0.465,0.465
3,0.643,0.644,0.644,0.644,0.643
4,0.824,0.824,0.824,0.824,0.824
5,1.004,1.004,1.004,1.004,1.004
6,1.184,1.184,1.185,1.184,1.185
7,1.366,1.365,1.366,1.365,1.365
8,1.546,1.546,1.546,1.547,1.546
9,1.727,1.727,1.726,1.727,1.727
10,1.908,1.908,1.908,1.908,1.908
11,2.09,2.089,2.09,2.089,2.09
12,2.271,2.271,2.27,2.272,2.271
13,2.453,2.454,2.454,2.453,2.453
14,2.636,2.635,2.636,2.636,2.636
15,2.818,2.817,2.818,2.818,2.818
16,2.997,2.998,2.998,2.998,2.998
17,3.177,3.178,3.177,3.178,3.177
18,3.36,3.36,3.36,3.36,3.361
19,3.542,3.542,3.542,3.542,3.543
20,3.724,3.725,3.725,3.725,3.725
IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,0.106,0.106,0.105,0.105,0.105
1,-0.074,-0.074,-0.073,-0.074,-0.073
2,-0.255,-0.254,-0.254,-0.255,-0.255
3,-0.44,-0.441,-0.44,-0.44,-0.44
4,-0.626,-0.627,-0.626,-0.626,-0.627
5,-0.812,-0.812,-0.812,-0.812,-0.812
6,-0.996,-0.996,-0.996,-0.996,-0.997
7,-1.18,-1.18,-1.181,-1.181,-1.181
8,-1.364,-1.364,-1.364,-1.364,-1.364
9,-1.545,-1.546,-1.546,-1.546,-1.546
10,-1.728,-1.728,-1.728,-1.728,-1.728
11,-1.911,-1.91,-1.911,-1.911,-1.911
12,-2.093,-2.095,-2.094,-2.094,-2.094
13,-2.276,-2.276,-2.276,-2.275,-2.276
14,-2.458,-2.458,-2.458,-2.459,-2.458
15,-2.639,-2.64,-2.64,-2.64,-2.639
16,-2.821,-2.82,-2.82,-2.821,-2.821
17,-3.003,-3.002,-3.003,-3.003,-3.003
18,-3.184,-3.184,-3.184,-3.184,-3.184
19,-3.366,-3.366,-3.366,-3.366,-3.366
20,-3.548,-3.547,-3.548,-3.547,-3.548
