C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Linearity--301-17-06-07-11-48-27.csv
IP,Vout
25,4.4933
24,4.4191
23,4.3435
22,4.2680
21,4.1910
20,4.1152
19,4.0402
18,3.9640
17,3.8886
16,3.8117
15,3.7371
14,3.6613
13,3.5859
12,3.5099
11,3.4345
10,3.3592
9,3.2828
8,3.2073
7,3.1318
6,3.0567
5,2.9814
4,2.9056
3,2.8301
2,2.7553
1,2.6798
-0,2.6045
-1,2.5146
-2,2.4380
-3,2.3630
-4,2.2872
-5,2.2111
-6,2.1361
-7,2.0603
-8,1.9844
-9,1.9081
-10,1.8333
-11,1.7570
-12,1.6813
-13,1.6056
-14,1.5298
-15,1.4537
-16,1.3786
-17,1.3033
-18,1.2271
-19,1.1512
-20,1.0755
-21,0.9998
-22,0.9243
-23,0.8477
-24,0.7725
-25,0.6977
