C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620Tc1--302-17-06-07-12-17-37.csv
gain tc1
code,VoutIP,Vref,Vout0A
0,4.2593,1.1551,2.6104
1,4.2610,1.1606,2.6119
2,4.2609,1.1626,2.6126
3,4.2615,1.1629,2.6133
4,4.2621,1.1628,2.6136
5,4.2618,1.1627,2.6133
6,4.2613,1.1627,2.6140
7,4.2622,1.1628,2.6130
8,4.2619,1.1628,2.6135
9,4.2618,1.1629,2.6136
10,4.2619,1.1630,2.6139
11,4.2623,1.1630,2.6137
12,4.2626,1.1631,2.6139
13,4.2619,1.1629,2.6139
14,4.2626,1.1629,2.6135
15,4.2621,1.1629,2.6139
