10/27/2017 16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
25,0,3.532,0.53,3.531,0.53,3.537,0.529,3.52,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,1,3.533,0.531,3.527,0.528,3.535,0.53,3.517,0.53,,,,,,,,,,,,,,,,,,,,,,,,
25,2,3.531,0.531,3.527,0.53,3.531,0.53,3.511,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,3,3.528,0.532,3.523,0.529,3.53,0.53,3.507,0.53,,,,,,,,,,,,,,,,,,,,,,,,
25,4,3.524,0.532,3.525,0.529,3.53,0.529,3.506,0.53,,,,,,,,,,,,,,,,,,,,,,,,
25,5,3.523,0.531,3.523,0.53,3.528,0.529,3.503,0.529,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
25,0,3.525,0.531,3.523,0.529,3.525,0.53,3.516,0.53,,,,,,,,,,,,,,,,,,,,,,,,
25,1,3.524,0.532,3.524,0.528,3.527,0.53,3.515,0.532,,,,,,,,,,,,,,,,,,,,,,,,
25,2,3.526,0.531,3.522,0.53,3.526,0.53,3.509,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,3,3.524,0.532,3.522,0.53,3.527,0.53,3.507,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,4,3.527,0.531,3.528,0.529,3.531,0.529,3.511,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,5,3.527,0.53,3.528,0.528,3.528,0.531,3.506,0.531,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 16:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
-20,0,3.503,0.528,3.513,0.527,3.505,0.53,3.51,0.537,,,,,,,,,,,,,,,,,,,,,,,,
-20,1,3.512,0.528,3.522,0.527,3.515,0.53,3.517,0.537,,,,,,,,,,,,,,,,,,,,,,,,
-20,2,3.522,0.528,3.532,0.527,3.524,0.53,3.524,0.538,,,,,,,,,,,,,,,,,,,,,,,,
-20,3,3.531,0.528,3.54,0.527,3.534,0.531,3.532,0.538,,,,,,,,,,,,,,,,,,,,,,,,
-20,4,3.54,0.529,3.552,0.527,3.543,0.53,3.542,0.538,,,,,,,,,,,,,,,,,,,,,,,,
-20,5,3.549,0.529,3.562,0.528,3.553,0.53,3.55,0.538,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 17:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
-40,0,3.509,0.524,3.522,0.524,3.51,0.528,3.522,0.536,,,,,,,,,,,,,,,,,,,,,,,,
-40,1,3.521,0.525,3.534,0.524,3.522,0.529,3.531,0.536,,,,,,,,,,,,,,,,,,,,,,,,
-40,2,3.535,0.525,3.547,0.525,3.535,0.528,3.542,0.538,,,,,,,,,,,,,,,,,,,,,,,,
-40,3,3.549,0.526,3.56,0.526,3.548,0.53,3.554,0.537,,,,,,,,,,,,,,,,,,,,,,,,
-40,4,3.559,0.526,3.574,0.525,3.561,0.529,3.567,0.537,,,,,,,,,,,,,,,,,,,,,,,,
-40,5,3.572,0.526,3.587,0.525,3.575,0.529,3.577,0.537,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
-20,0,3.507,0.528,3.515,0.527,3.51,0.529,3.514,0.536,,,,,,,,,,,,,,,,,,,,,,,,
-20,1,3.517,0.528,3.524,0.527,3.52,0.53,3.521,0.535,,,,,,,,,,,,,,,,,,,,,,,,
-20,2,3.528,0.528,3.535,0.527,3.529,0.53,3.527,0.535,,,,,,,,,,,,,,,,,,,,,,,,
-20,3,3.536,0.527,3.543,0.527,3.538,0.53,3.534,0.535,,,,,,,,,,,,,,,,,,,,,,,,
-20,4,3.543,0.528,3.553,0.527,3.547,0.531,3.543,0.535,,,,,,,,,,,,,,,,,,,,,,,,
-20,5,3.552,0.528,3.563,0.527,3.557,0.53,3.551,0.535,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
0,0,3.511,0.529,3.514,0.528,3.515,0.53,3.511,0.533,,,,,,,,,,,,,,,,,,,,,,,,
0,1,3.517,0.528,3.518,0.529,3.521,0.531,3.515,0.533,,,,,,,,,,,,,,,,,,,,,,,,
0,2,3.523,0.529,3.524,0.528,3.526,0.53,3.516,0.532,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3.527,0.529,3.529,0.529,3.531,0.531,3.519,0.533,,,,,,,,,,,,,,,,,,,,,,,,
0,4,3.532,0.529,3.537,0.528,3.537,0.531,3.524,0.533,,,,,,,,,,,,,,,,,,,,,,,,
0,5,3.537,0.53,3.541,0.529,3.543,0.531,3.527,0.533,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
25,0,3.527,0.532,3.521,0.53,3.531,0.53,3.516,0.532,,,,,,,,,,,,,,,,,,,,,,,,
25,1,3.528,0.531,3.521,0.531,3.532,0.529,3.516,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,2,3.529,0.532,3.523,0.531,3.532,0.53,3.513,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,3,3.53,0.532,3.522,0.53,3.533,0.529,3.511,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,4,3.527,0.532,3.524,0.53,3.533,0.53,3.51,0.531,,,,,,,,,,,,,,,,,,,,,,,,
25,5,3.527,0.531,3.524,0.531,3.532,0.531,3.508,0.532,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
45,0,3.539,0.534,3.53,0.532,3.545,0.531,3.521,0.529,,,,,,,,,,,,,,,,,,,,,,,,
45,1,3.537,0.535,3.525,0.533,3.54,0.531,3.515,0.528,,,,,,,,,,,,,,,,,,,,,,,,
45,2,3.534,0.535,3.522,0.531,3.538,0.532,3.508,0.53,,,,,,,,,,,,,,,,,,,,,,,,
45,3,3.526,0.534,3.516,0.533,3.531,0.531,3.5,0.529,,,,,,,,,,,,,,,,,,,,,,,,
45,4,3.522,0.534,3.515,0.532,3.529,0.533,3.495,0.527,,,,,,,,,,,,,,,,,,,,,,,,
45,5,3.518,0.534,3.514,0.532,3.524,0.532,3.488,0.529,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
65,0,3.545,0.538,3.527,0.535,3.549,0.533,3.517,0.528,,,,,,,,,,,,,,,,,,,,,,,,
65,1,3.537,0.536,3.518,0.536,3.542,0.534,3.506,0.527,,,,,,,,,,,,,,,,,,,,,,,,
65,2,3.531,0.537,3.514,0.533,3.534,0.532,3.492,0.527,,,,,,,,,,,,,,,,,,,,,,,,
65,3,3.519,0.537,3.501,0.534,3.527,0.534,3.486,0.526,,,,,,,,,,,,,,,,,,,,,,,,
65,4,3.513,0.536,3.499,0.535,3.52,0.533,3.476,0.526,,,,,,,,,,,,,,,,,,,,,,,,
65,5,3.506,0.536,3.492,0.534,3.513,0.532,3.467,0.524,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
85,0,3.549,0.54,3.521,0.539,3.549,0.536,3.509,0.525,,,,,,,,,,,,,,,,,,,,,,,,
85,1,3.535,0.539,3.506,0.538,3.536,0.535,3.492,0.524,,,,,,,,,,,,,,,,,,,,,,,,
85,2,3.524,0.54,3.496,0.537,3.524,0.536,3.476,0.524,,,,,,,,,,,,,,,,,,,,,,,,
85,3,3.51,0.539,3.482,0.537,3.513,0.535,3.46,0.524,,,,,,,,,,,,,,,,,,,,,,,,
85,4,3.493,0.539,3.47,0.537,3.496,0.534,3.446,0.524,,,,,,,,,,,,,,,,,,,,,,,,
85,5,3.481,0.539,3.457,0.537,3.486,0.535,3.431,0.525,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
