9/28/2017 19:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-PF-TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon = 620b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp = 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,Offset,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
25,0,2v5,3.302,2.5,3.3,2.497,3.306,2.499,3.3,2.499,3.306,2.5,0.892,0.948,3.307,2.501,3.3,2.5,,,,,,,,,,,,,,,,
25,0,halfVdd,3.474,2.537,3.308,2.521,3.47,2.51,3.529,2.511,3.357,2.502,3.357,2.502,3.344,2.51,3.305,2.502,,,,,,,,,,,,,,,,
25,2,2v5,3.301,2.501,3.3,2.498,3.305,2.5,3.299,2.499,3.306,2.501,0.927,0.984,3.306,2.501,3.3,2.5,,,,,,,,,,,,,,,,
25,2,halfVdd,3.473,2.537,3.308,2.521,3.468,2.509,3.528,2.509,3.356,2.502,3.356,2.502,3.342,2.509,3.305,2.502,,,,,,,,,,,,,,,,
25,4,2v5,3.302,2.5,3.298,2.497,3.304,2.5,3.299,2.5,3.304,2.501,0.94,0.997,3.305,2.501,3.299,2.5,,,,,,,,,,,,,,,,
25,4,halfVdd,3.472,2.538,3.307,2.52,3.468,2.509,3.527,2.51,3.355,2.502,3.355,2.503,3.341,2.509,3.304,2.502,,,,,,,,,,,,,,,,
25,6,2v5,3.301,2.501,3.297,2.497,3.302,2.499,3.299,2.5,3.304,2.5,0.95,1.009,3.304,2.5,3.298,2.5,,,,,,,,,,,,,,,,
25,6,halfVdd,3.472,2.538,3.306,2.52,3.465,2.51,3.526,2.51,3.354,2.502,3.354,2.502,3.34,2.511,3.303,2.503,,,,,,,,,,,,,,,,
25,8,2v5,3.299,2.501,3.297,2.497,3.3,2.499,3.297,2.498,3.304,2.501,0.956,1.019,3.303,2.501,3.296,2.499,,,,,,,,,,,,,,,,
25,8,halfVdd,3.469,2.537,3.304,2.52,3.464,2.511,3.524,2.51,3.352,2.502,3.352,2.503,3.339,2.51,3.3,2.502,,,,,,,,,,,,,,,,
25,10,2v5,3.298,2.5,3.296,2.497,3.299,2.499,3.297,2.499,3.303,2.501,0.955,1.023,3.302,2.501,3.295,2.5,,,,,,,,,,,,,,,,
25,10,halfVdd,3.469,2.537,3.303,2.521,3.463,2.51,3.523,2.51,3.351,2.502,3.351,2.503,3.338,2.509,3.3,2.503,,,,,,,,,,,,,,,,
25,12,2v5,3.298,2.501,3.295,2.496,3.296,2.499,3.296,2.499,3.303,2.501,0.958,1.028,3.3,2.501,3.294,2.5,,,,,,,,,,,,,,,,
25,12,halfVdd,3.467,2.538,3.302,2.521,3.461,2.509,3.521,2.51,3.351,2.502,3.35,2.503,3.337,2.51,3.3,2.502,,,,,,,,,,,,,,,,
25,14,2v5,3.297,2.501,3.294,2.498,3.295,2.5,3.296,2.499,3.302,2.501,0.96,1.032,3.3,2.501,3.294,2.5,,,,,,,,,,,,,,,,
25,14,halfVdd,3.466,2.538,3.302,2.521,3.461,2.51,3.52,2.51,3.35,2.503,3.35,2.502,3.336,2.51,3.298,2.502,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2v5,3.302,2.5,3.3,2.497,3.306,2.499,3.3,2.499,3.306,2.5,0.892,0.948,3.307,2.501,3.3,2.5,,,,,,,,,,,,,,,,
,,2v5,3.301,2.501,3.3,2.498,3.305,2.5,3.299,2.499,3.306,2.501,0.927,0.984,3.306,2.501,3.3,2.5,,,,,,,,,,,,,,,,
,,2v5,3.302,2.5,3.298,2.497,3.304,2.5,3.299,2.5,3.304,2.501,0.94,0.997,3.305,2.501,3.299,2.5,,,,,,,,,,,,,,,,
,,2v5,3.301,2.501,3.297,2.497,3.302,2.499,3.299,2.5,3.304,2.5,0.95,1.009,3.304,2.5,3.298,2.5,,,,,,,,,,,,,,,,
,,2v5,3.299,2.501,3.297,2.497,3.3,2.499,3.297,2.498,3.304,2.501,0.956,1.019,3.303,2.501,3.296,2.499,,,,,,,,,,,,,,,,
,,2v5,3.298,2.5,3.296,2.497,3.299,2.499,3.297,2.499,3.303,2.501,0.955,1.023,3.302,2.501,3.295,2.5,,,,,,,,,,,,,,,,
