Temp,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,,Temp,Gain,V0A,Gain,V0A,Gain,V0A,Gain,V0A,Gain,V0A,Gain,V0A,Gain,V0A,Gain,V0A
25,4.257,2.492,4.213,2.471,4.236,2.503,4.214,2.479,4.227,2.47,4.233,2.488,4.236,2.491,0.195,0.188,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.266,2.494,4.224,2.472,4.246,2.504,4.221,2.478,4.235,2.471,4.24,2.487,4.247,2.491,0.212,0.205,,45,0.007,0.002,0.01,0.001,0.009,0.001,0.008,-0.001,0.007,0.001,0.008,-0.001,0.011,0,0,0.017
65,4.278,2.498,4.237,2.474,4.255,2.505,4.23,2.477,4.245,2.475,4.245,2.485,4.257,2.493,0.235,0.229,,65,0.015,0.006,0.021,0.003,0.017,0.002,0.018,-0.002,0.013,0.005,0.015,-0.003,0.019,0.002,-0.001,0.041
85,4.28,2.496,4.251,2.475,4.255,2.501,4.23,2.47,4.255,2.478,4.248,2.479,4.258,2.489,0.252,0.246,,85,0.019,0.004,0.034,0.004,0.021,-0.002,0.025,-0.009,0.02,0.008,0.024,-0.009,0.024,-0.002,-0.001,0.058
105,4.281,2.492,4.267,2.482,4.251,2.487,4.225,2.453,4.269,2.485,4.247,2.467,4.25,2.478,0.274,0.267,,105,0.024,0,0.043,0.011,0.031,-0.016,0.037,-0.026,0.027,0.015,0.035,-0.021,0.027,-0.013,0,0.079
125,4.263,2.497,4.25,2.485,4.237,2.494,4.206,2.457,4.244,2.486,4.215,2.461,4.225,2.476,0.298,0.292,,125,0.001,0.005,0.023,0.014,0.01,-0.009,0.014,-0.022,0.001,0.016,0.009,-0.027,0.004,-0.015,-0.001,0.104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,V0A,(mV),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Temp,DUT1,DUT2,DUT3,DUT4,DUT5,DUT6,DUT7,,,,,,,,,
,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,45,0.002,0.001,0.001,-0.001,0.001,-0.001,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,65,0.006,0.003,0.002,-0.002,0.005,-0.003,0.002,,,,,,,,,
,,,,,,,,,,,,,,,,,,85,0.004,0.004,-0.002,-0.009,0.008,-0.009,-0.002,,,,,,,,,
,,,,,,,,,,,,,,,,,,105,0,0.011,-0.016,-0.026,0.015,-0.021,-0.013,,,,,,,,,
,,,,,,,,,,,,,,,,,,125,0.005,0.014,-0.009,-0.022,0.016,-0.027,-0.015,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Gain,(mV),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Temp,DUT1,DUT2,DUT3,DUT4,DUT5,DUT6,DUT7,,,,,,,,,
,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,45,0.007,0.01,0.009,0.008,0.007,0.008,0.011,,,,,,,,,
,,,,,,,,,,,,,,,,,,65,0.015,0.021,0.017,0.018,0.013,0.015,0.019,,,,,,,,,
,,,,,,,,,,,,,,,,,,85,0.019,0.034,0.021,0.025,0.02,0.024,0.024,,,,,,,,,
,,,,,,,,,,,,,,,,,,105,0.024,0.043,0.031,0.037,0.027,0.035,0.027,,,,,,,,,
,,,,,,,,,,,,,,,,,,125,0.001,0.023,0.01,0.014,0.001,0.009,0.004,,,,,,,,,
