C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910FineGain-1-17-04-15-12-23-27.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,5.4133,5.4136,5.4139,5.4135,5.4136
1,5.3888,5.3887,5.3886,5.3890,5.3886
2,5.3640,5.3637,5.3638,5.3641,5.3635
3,5.3394,5.3390,5.3393,5.3386,5.3391
4,5.3141,5.3140,5.3138,5.3139,5.3135
5,5.2889,5.2889,5.2889,5.2887,5.2892
6,5.2646,5.2645,5.2644,5.2645,5.2645
7,5.2397,5.2399,5.2399,5.2396,5.2396
8,5.2157,5.2158,5.2158,5.2158,5.2158
9,5.1908,5.1911,5.1909,5.1911,5.1911
10,5.1667,5.1665,5.1662,5.1664,5.1664
11,5.1417,5.1420,5.1422,5.1424,5.1422
12,5.1170,5.1170,5.1170,5.1165,5.1167
13,5.0924,5.0920,5.0920,5.0918,5.0920
14,5.0674,5.0673,5.0669,5.0675,5.0673
15,5.0430,5.0434,5.0428,5.0429,5.0428
16,5.0172,5.0175,5.0173,5.0172,5.0175
17,4.9928,4.9924,4.9928,4.9931,4.9928
18,4.9681,4.9683,4.9684,4.9680,4.9678
19,4.9434,4.9437,4.9440,4.9435,4.9434
20,4.9181,4.9183,4.9184,4.9183,4.9182
21,4.8938,4.8936,4.8937,4.8939,4.8933
22,4.8688,4.8686,4.8687,4.8688,4.8688
23,4.8443,4.8441,4.8444,4.8441,4.8438
24,4.8199,4.8205,4.8203,4.8202,4.8203
25,4.7958,4.7954,4.7959,4.7957,4.7955
26,4.7711,4.7710,4.7708,4.7712,4.7711
27,4.7462,4.7463,4.7460,4.7464,4.7462
28,4.7214,4.7210,4.7207,4.7208,4.7210
29,4.6961,4.6962,4.6964,4.6961,4.6962
30,4.6715,4.6717,4.6713,4.6714,4.6717
31,4.6470,4.6472,4.6469,4.6471,4.6473
