C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910FineGain-17-04-13-09-47-55.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,0.0309,0.0310,0.0308,0.0314,0.0308
1,0.0311,0.0310,0.0310,0.0312,0.0312
2,0.0317,0.0312,0.0314,0.0316,0.0316
3,0.0316,0.0314,0.0315,0.0316,0.0316
4,0.0318,0.0316,0.0317,0.0316,0.0317
5,0.0320,0.0317,0.0317,0.0320,0.0319
6,0.0319,0.0320,0.0320,0.0319,0.0324
7,0.0323,0.0325,0.0322,0.0320,0.0325
8,0.0322,0.0326,0.0322,0.0324,0.0325
9,0.0322,0.0324,0.0326,0.0326,0.0323
10,0.0327,0.0327,0.0327,0.0327,0.0325
11,0.0326,0.0329,0.0331,0.0328,0.0327
12,0.0327,0.0328,0.0329,0.0329,0.0330
13,0.0329,0.0331,0.0331,0.0334,0.0329
14,0.0331,0.0331,0.0333,0.0331,0.0330
15,0.0334,0.0332,0.0333,0.0335,0.0337
16,0.0339,0.0339,0.0341,0.0338,0.0337
17,0.0342,0.0337,0.0338,0.0339,0.0340
18,0.0343,0.0339,0.0342,0.0341,0.0339
19,0.0341,0.0341,0.0343,0.0342,0.0343
20,0.0343,0.0344,0.0343,0.0343,0.0344
21,0.0345,0.0341,0.0345,0.0341,0.0344
22,0.0348,0.0345,0.0345,0.0345,0.0345
23,0.0347,0.0347,0.0348,0.0349,0.0348
24,0.0351,0.0349,0.0350,0.0350,0.0349
25,0.0351,0.0350,0.0349,0.0350,0.0348
26,0.0355,0.0354,0.0356,0.0354,0.0354
27,0.0356,0.0354,0.0354,0.0355,0.0355
28,0.0358,0.0355,0.0357,0.0356,0.0356
29,0.0356,0.0359,0.0357,0.0356,0.0357
30,0.0358,0.0361,0.0359,0.0359,0.0360
31,0.0358,0.0359,0.0362,0.0359,0.0360
