C:\Users\IBM-201\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910Linearity-16-11-07-02-36-57.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
20,0.077,0.077,0.077,0.076,0.077
19,0.077,0.077,0.077,0.077,0.076
18,0.077,0.077,0.077,0.077,0.077
17,0.077,0.077,0.077,0.077,0.077
16,0.077,0.077,0.077,0.077,0.077
15,0.077,0.077,0.077,0.077,0.077
14,0.076,0.077,0.077,0.077,0.077
13,0.077,0.077,0.077,0.077,0.077
12,0.077,0.077,0.077,0.077,0.077
11,0.077,0.077,0.076,0.077,0.076
10,0.077,0.077,0.077,0.078,0.077
9,0.077,0.077,0.077,0.077,0.077
8,0.076,0.077,0.076,0.077,0.077
7,0.077,0.077,0.077,0.077,0.077
6,0.077,0.077,0.077,0.077,0.077
5,0.077,0.077,0.077,0.077,0.077
4,0.078,0.077,0.077,0.077,0.077
3,0.077,0.077,0.077,0.077,0.077
2,0.077,0.077,0.077,0.077,0.077
1,0.077,0.077,0.077,0.077,0.077
