C:\Users\IBM-201\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910Linearity-16-11-07-03-07-12.csv,,,,,
IP,Vout1,Vout2,Vout3,Vout4,Vout5
20,2.995,2.996,2.995,2.995,2.996
19,2.848,2.849,2.849,2.849,2.848
18,2.702,2.702,2.702,2.702,2.702
17,2.555,2.556,2.556,2.555,2.555
16,2.408,2.408,2.409,2.409,2.409
15,2.262,2.262,2.262,2.263,2.262
14,2.116,2.116,2.116,2.116,2.116
13,1.969,1.97,1.97,1.97,1.97
12,1.823,1.823,1.823,1.824,1.823
11,1.677,1.677,1.677,1.677,1.678
10,1.532,1.532,1.532,1.533,1.532
9,1.387,1.386,1.387,1.387,1.387
8,1.242,1.242,1.242,1.242,1.241
7,1.096,1.096,1.096,1.097,1.097
6,0.952,0.951,0.952,0.951,0.952
5,0.806,0.806,0.806,0.807,0.806
4,0.66,0.66,0.661,0.66,0.66
3,0.515,0.515,0.516,0.516,0.516
2,0.37,0.37,0.37,0.37,0.37
1,0.226,0.226,0.225,0.226,0.226
0,0.078,0.079,0.078,0.078,0.078
-1,-0.063,-0.063,-0.063,-0.063,-0.062
-2,-0.207,-0.207,-0.208,-0.207,-0.207
-3,-0.355,-0.354,-0.355,-0.355,-0.355
-4,-0.502,-0.502,-0.502,-0.502,-0.502
-5,-0.648,-0.649,-0.648,-0.649,-0.649
-6,-0.796,-0.795,-0.795,-0.795,-0.796
-7,-0.941,-0.941,-0.941,-0.941,-0.941
-8,-1.087,-1.087,-1.087,-1.087,-1.087
-9,-1.234,-1.234,-1.234,-1.234,-1.234
-10,-1.379,-1.379,-1.379,-1.38,-1.379
-11,-1.525,-1.525,-1.526,-1.526,-1.525
-12,-1.67,-1.67,-1.671,-1.67,-1.671
-13,-1.816,-1.816,-1.817,-1.817,-1.816
-14,-1.961,-1.961,-1.961,-1.962,-1.961
-15,-2.107,-2.107,-2.106,-2.107,-2.107
-16,-2.252,-2.251,-2.252,-2.252,-2.252
-17,-2.397,-2.397,-2.397,-2.397,-2.398
-18,-2.543,-2.542,-2.543,-2.542,-2.543
-19,-2.688,-2.688,-2.687,-2.688,-2.688
-20,-2.832,-2.832,-2.833,-2.832,-2.833
