C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910Linearity-17-04-13-09-02-12.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
20,2.3844,2.3845,2.3848,2.3847,2.3845
19,2.2692,2.2689,2.2690,2.2688,2.2692
18,2.1534,2.1536,2.1535,2.1540,2.1532
17,2.0375,2.0375,2.0376,2.0377,2.0376
16,1.9215,1.9214,1.9215,1.9214,1.9219
15,1.8055,1.8056,1.8053,1.8056,1.8057
14,1.6897,1.6900,1.6896,1.6899,1.6899
13,1.5734,1.5738,1.5737,1.5733,1.5735
12,1.4576,1.4580,1.4577,1.4575,1.4575
11,1.3421,1.3421,1.3420,1.3420,1.3419
10,1.2255,1.2260,1.2263,1.2258,1.2256
9,1.1104,1.1103,1.1104,1.1105,1.1101
8,0.9948,0.9944,0.9944,0.9943,0.9945
7,0.8786,0.8786,0.8785,0.8785,0.8785
6,0.7634,0.7635,0.7632,0.7635,0.7635
5,0.6483,0.6480,0.6480,0.6481,0.6478
4,0.5320,0.5320,0.5318,0.5320,0.5322
3,0.4171,0.4173,0.4170,0.4170,0.4170
2,0.3020,0.3018,0.3019,0.3020,0.3021
1,0.1873,0.1871,0.1870,0.1873,0.1872
0,0.0403,0.0405,0.0411,0.0402,0.0409
1,-0.0761,-0.0761,-0.0758,-0.0761,-0.0763
2,-0.1917,-0.1915,-0.1915,-0.1915,-0.1917
3,-0.3070,-0.3071,-0.3075,-0.3070,-0.3074
4,-0.4229,-0.4231,-0.4226,-0.4230,-0.4228
5,-0.5384,-0.5382,-0.5386,-0.5386,-0.5386
6,-0.6549,-0.6544,-0.6546,-0.6545,-0.6547
7,-0.7701,-0.7703,-0.7703,-0.7703,-0.7701
8,-0.8865,-0.8862,-0.8864,-0.8866,-0.8865
9,-1.0027,-1.0026,-1.0027,-1.0023,-1.0028
10,-1.1187,-1.1185,-1.1186,-1.1184,-1.1185
11,-1.2344,-1.2347,-1.2344,-1.2348,-1.2350
12,-1.3507,-1.3510,-1.3506,-1.3509,-1.3511
13,-1.4668,-1.4666,-1.4668,-1.4668,-1.4668
14,-1.5833,-1.5831,-1.5833,-1.5831,-1.5835
15,-1.6997,-1.6994,-1.6997,-1.6993,-1.6993
16,-1.8164,-1.8160,-1.8164,-1.8162,-1.8163
17,-1.9323,-1.9319,-1.9321,-1.9324,-1.9324
18,-2.0478,-2.0479,-2.0480,-2.0476,-2.0478
19,-2.1642,-2.1643,-2.1639,-2.1641,-2.1644
20,-2.2800,-2.2800,-2.2803,-2.2802,-2.2800
