C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910Offset-17-04-13-04-37-24.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
128,0.2860,0.2859,0.2856,0.2854,0.2858
127,0.1854,0.1856,0.1861,0.1857,0.1857
126,0.1863,0.1866,0.1863,0.1867,0.1864
125,0.1872,0.1873,0.1873,0.1871,0.1872
124,0.1878,0.1878,0.1880,0.1880,0.1884
123,0.1888,0.1886,0.1890,0.1887,0.1888
122,0.1898,0.1897,0.1893,0.1892,0.1897
121,0.1902,0.1900,0.1902,0.1903,0.1901
120,0.1910,0.1910,0.1912,0.1911,0.1907
119,0.1914,0.1914,0.1912,0.1915,0.1914
118,0.1922,0.1923,0.1923,0.1918,0.1919
117,0.1932,0.1932,0.1928,0.1928,0.1930
116,0.1940,0.1940,0.1939,0.1939,0.1940
115,0.1945,0.1944,0.1946,0.1945,0.1947
114,0.1954,0.1953,0.1953,0.1957,0.1954
113,0.1960,0.1963,0.1963,0.1964,0.1961
112,0.1971,0.1969,0.1969,0.1972,0.1971
111,0.1977,0.1977,0.1981,0.1976,0.1979
110,0.1988,0.1987,0.1987,0.1988,0.1984
109,0.1995,0.1994,0.1996,0.1993,0.1995
108,0.2002,0.2002,0.1999,0.2002,0.2003
107,0.2010,0.2009,0.2013,0.2010,0.2006
106,0.2019,0.2016,0.2019,0.2019,0.2015
105,0.2021,0.2027,0.2025,0.2026,0.2025
104,0.2034,0.2033,0.2030,0.2034,0.2033
103,0.2039,0.2037,0.2039,0.2040,0.2039
102,0.2044,0.2045,0.2045,0.2045,0.2044
101,0.2053,0.2054,0.2056,0.2052,0.2054
100,0.2063,0.2062,0.2063,0.2061,0.2065
99,0.2069,0.2072,0.2069,0.2068,0.2068
98,0.2078,0.2077,0.2077,0.2078,0.2076
97,0.2086,0.2087,0.2087,0.2086,0.2084
96,0.2096,0.2095,0.2096,0.2092,0.2093
95,0.2102,0.2100,0.2103,0.2100,0.2101
94,0.2114,0.2109,0.2111,0.2110,0.2111
93,0.2119,0.2118,0.2116,0.2117,0.2116
92,0.2123,0.2126,0.2127,0.2125,0.2126
91,0.2133,0.2135,0.2133,0.2133,0.2131
90,0.2140,0.2138,0.2142,0.2142,0.2139
89,0.2151,0.2149,0.2147,0.2149,0.2152
88,0.2155,0.2159,0.2160,0.2157,0.2157
87,0.2161,0.2160,0.2163,0.2163,0.2160
86,0.2168,0.2168,0.2169,0.2171,0.2172
85,0.2177,0.2182,0.2180,0.2182,0.2177
84,0.2186,0.2184,0.2185,0.2186,0.2187
83,0.2193,0.2194,0.2197,0.2194,0.2198
82,0.2201,0.2201,0.2202,0.2200,0.2200
81,0.2214,0.2213,0.2214,0.2210,0.2211
80,0.2221,0.2218,0.2220,0.2221,0.2219
79,0.2227,0.2227,0.2229,0.2223,0.2227
78,0.2234,0.2235,0.2231,0.2235,0.2233
77,0.2243,0.2241,0.2237,0.2241,0.2245
76,0.2251,0.2250,0.2250,0.2248,0.2247
75,0.2257,0.2257,0.2258,0.2261,0.2261
74,0.2266,0.2268,0.2264,0.2264,0.2263
73,0.2275,0.2274,0.2272,0.2272,0.2272
72,0.2278,0.2281,0.2281,0.2281,0.2281
71,0.2287,0.2285,0.2284,0.2286,0.2286
70,0.2291,0.2294,0.2290,0.2292,0.2293
69,0.2301,0.2300,0.2302,0.2301,0.2302
68,0.2308,0.2305,0.2308,0.2310,0.2307
