C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910RoughGain-17-04-13-04-09-06.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
16,0.259,0.259,0.259,0.259,0.259
17,-1.787,-1.860,-1.892,-1.910,-1.923
18,0.260,0.260,0.260,0.260,0.260
19,-1.797,-1.874,-1.907,-1.922,-1.932
20,0.261,0.260,0.260,0.260,0.260
21,-1.800,-1.877,-1.910,-1.929,-1.944
22,0.261,0.260,0.260,0.259,0.259
23,-1.802,-1.879,-1.913,-1.930,-1.940
24,0.260,0.260,0.260,0.259,0.260
25,-1.799,-1.876,-1.912,-1.923,-1.936
26,0.260,0.260,0.259,0.259,0.259
27,-1.803,-1.884,-1.918,-1.936,-1.947
28,0.261,0.261,0.261,0.260,0.260
29,-1.811,-1.891,-1.924,-1.941,-1.952
30,0.261,0.261,0.261,0.260,0.260
31,-1.810,-1.891,-1.927,-1.944,-1.955
