C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620CoarseGain-1-17-05-22-05-30-44.csv
IP,VIP1,VIP2,Offset
0,2.5419,2.5418,0.4523
1,2.5398,2.5390,0.4512
2,2.5362,2.5363,0.4508
3,2.5341,2.5338,0.4501
4,2.5324,2.5323,0.4498
5,2.5311,2.5306,0.4505
6,2.5293,2.5291,0.4497
7,2.5283,2.5283,0.4496
8,2.5269,2.5271,0.4495
9,2.5261,2.5263,0.4496
10,2.5251,2.5253,0.4497
11,2.5248,2.5248,0.4496
12,2.5239,2.5240,0.4497
13,2.5234,2.5233,0.4494
14,2.5231,2.5230,0.4494
15,2.5227,2.5227,0.4494
