C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620CoarseGain-1-17-05-27-06-23-18.csv
code,VIP1,VIP2,Offset
0,4.5188,4.5187,2.6908
1,4.2643,4.2648,2.6815
2,4.0462,4.0465,2.6739
3,3.8626,3.8626,2.6673
4,3.7087,3.7081,2.6620
5,3.5693,3.5699,2.6572
6,3.4487,3.4487,2.6534
7,3.3440,3.3440,2.6501
8,3.2526,3.2525,2.6461
9,3.1719,3.1721,2.6435
10,3.1015,3.1011,2.6411
11,3.0404,3.0405,2.6391
12,2.9875,2.9876,2.6372
13,2.9406,2.9407,2.6355
14,2.8998,2.8996,2.6337
15,2.8645,2.8647,2.6325
