C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620FineGain-1-17-05-22-05-31-49.csv
IP,VIP1,VIP2,Offset
0,2.5416,2.5423,0.4495
1,2.5419,2.5430,0.4489
2,2.5415,2.5418,0.4488
3,2.5423,2.5417,0.4485
4,2.5421,2.5419,0.4484
5,2.5419,2.5418,0.4486
6,2.5409,2.5420,0.4485
7,2.5414,2.5429,0.4487
8,2.5419,2.5422,0.4485
9,2.5413,2.5417,0.4483
10,2.5414,2.5416,0.4483
11,2.5427,2.5417,0.4484
12,2.5415,2.5412,0.4484
13,2.5422,2.5409,0.4484
14,2.5414,2.5409,0.4483
15,2.5417,2.5419,0.4481
16,2.5407,2.5410,0.4480
17,2.5413,2.5421,0.4481
18,2.5411,2.5419,0.4481
19,2.5406,2.5402,0.4484
20,2.5416,2.5409,0.4483
21,2.5407,2.5410,0.4485
22,2.5406,2.5413,0.4486
23,2.5405,2.5412,0.4483
24,2.5413,2.5405,0.4484
25,2.5410,2.5410,0.4482
26,2.5402,2.5405,0.4482
27,2.5407,2.5402,0.4483
28,2.5404,2.5410,0.4484
29,2.5404,2.5405,0.4480
30,2.5404,2.5407,0.4483
31,2.5406,2.5412,0.4482
32,2.5408,2.5402,0.4482
33,2.5411,2.5410,0.4482
34,2.5409,2.5406,0.4483
35,2.5401,2.5403,0.4481
36,2.5402,2.5401,0.4482
37,2.5398,2.5400,0.4482
38,2.5401,2.5399,0.4480
39,2.5399,2.5401,0.4481
40,2.5399,2.5394,0.4483
41,2.5397,2.5399,0.4484
42,2.5394,2.5397,0.4483
43,2.5393,2.5406,0.4484
44,2.5394,2.5390,0.4485
45,2.5397,2.5398,0.4482
46,2.5395,2.5399,0.4481
47,2.5392,2.5397,0.4482
48,2.5398,2.5400,0.4483
49,2.5398,2.5395,0.4483
50,2.5392,2.5390,0.4481
51,2.5398,2.5394,0.4485
52,2.5394,2.5397,0.4486
53,2.5392,2.5392,0.4484
54,2.5392,2.5392,0.4484
55,2.5392,2.5394,0.4483
56,2.5390,2.5390,0.4485
57,2.5382,2.5395,0.4483
58,2.5387,2.5384,0.4483
59,2.5385,2.5384,0.4484
60,2.5389,2.5395,0.4482
61,2.5386,2.5392,0.4484
62,2.5391,2.5379,0.4480
63,2.5382,2.5386,0.4482
