C:\Users\Work\Documents\Github\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep620FineGain-1-17-05-27-06-24-06.csv
code,VIP1,VIP2,Offset
0,4.5212,4.5210,2.6908
1,4.5169,4.5171,2.6898
2,4.5132,4.5124,2.6906
3,4.5081,4.5080,2.6898
4,4.5037,4.5036,2.6900
5,4.5001,4.5000,2.6899
6,4.4959,4.4965,2.6891
7,4.4921,4.4925,2.6895
8,4.4875,4.4878,2.6891
9,4.4832,4.4836,2.6886
10,4.4792,4.4797,2.6886
11,4.4752,4.4744,2.6881
12,4.4702,4.4717,2.6877
13,4.4662,4.4670,2.6872
14,4.4625,4.4628,2.6876
15,4.4590,4.4591,2.6882
16,4.4536,4.4535,2.6871
17,4.4500,4.4496,2.6870
18,4.4452,4.4457,2.6876
19,4.4414,4.4417,2.6865
20,4.4370,4.4383,2.6872
21,4.4336,4.4330,2.6858
22,4.4289,4.4294,2.6863
23,4.4254,4.4245,2.6860
24,4.4212,4.4198,2.6862
25,4.4170,4.4168,2.6850
26,4.4132,4.4127,2.6857
27,4.4089,4.4080,2.6856
28,4.4044,4.4046,2.6851
29,4.3996,4.3999,2.6855
30,4.3956,4.3962,2.6843
31,4.3914,4.3910,2.6845
32,4.3877,4.3878,2.6846
33,4.3844,4.3841,2.6840
34,4.3800,4.3790,2.6840
35,4.3752,4.3750,2.6837
36,4.3712,4.3714,2.6831
37,4.3671,4.3661,2.6837
38,4.3632,4.3635,2.6834
39,4.3579,4.3578,2.6833
40,4.3543,4.3535,2.6823
41,4.3491,4.3495,2.6829
42,4.3448,4.3457,2.6824
43,4.3414,4.3411,2.6827
44,4.3375,4.3365,2.6815
45,4.3328,4.3326,2.6818
46,4.3285,4.3287,2.6818
47,4.3238,4.3235,2.6816
48,4.3192,4.3194,2.6811
49,4.3154,4.3147,2.6807
50,4.3111,4.3107,2.6815
51,4.3065,4.3069,2.6804
52,4.3021,4.3026,2.6804
53,4.2978,4.2979,2.6807
54,4.2939,4.2939,2.6801
55,4.2892,4.2900,2.6794
56,4.2855,4.2852,2.6799
57,4.2808,4.2813,2.6796
58,4.2766,4.2774,2.6793
59,4.2725,4.2730,2.6788
60,4.2690,4.2687,2.6795
61,4.2641,4.2644,2.6798
62,4.2595,4.2593,2.6782
63,4.2557,4.2557,2.6783
