17-06-08-01-48-50
Temp,code,VoutIP,Vref,Vout0A
1,0,0.8055,1.9867,2.6057
1,1,0.8052,1.7257,2.6044
1,2,0.8042,1.5436,2.6046
1,3,0.8040,1.4415,2.6034
1,4,0.8042,1.3743,2.6040
1,5,0.8042,1.3272,2.6036
1,6,0.8037,1.2973,2.6035
1,7,0.8047,1.2758,2.6033
1,8,0.8045,1.2584,2.6028
1,9,0.8040,1.2450,2.6031
1,10,0.8038,1.2387,2.6026
1,11,0.8040,1.2369,2.6031
1,12,0.8042,1.2356,2.6032
1,13,0.8041,1.2347,2.6034
1,14,0.8034,1.2338,2.6033
1,15,0.8038,1.2331,2.6030
17-06-08-01-55-44
Temp,code,VoutIP,Vref,Vout0A
1,0,0.7570,1.2441,2.6355
1,1,0.7561,1.2376,2.6334
1,2,0.7559,1.2353,2.6332
1,3,0.7557,1.2333,2.6325
1,4,0.7558,1.2321,2.6321
1,5,0.7559,1.2313,2.6324
1,6,0.7557,1.2304,2.6322
1,7,0.7554,1.2297,2.6322
1,8,0.7552,1.2293,2.6320
1,9,0.7547,1.2292,2.6313
1,10,0.7556,1.2289,2.6319
1,11,0.7554,1.2288,2.6321
1,12,0.7554,1.2285,2.6317
1,13,0.7554,1.2283,2.6314
1,14,0.7549,1.2282,2.6317
1,15,0.7543,1.2283,2.6314
17-06-08-02-02-25
Temp,code,VoutIP,Vref,Vout0A
1,0,0.7980,1.2415,2.6188
1,1,0.7972,1.2365,2.6181
1,2,0.7970,1.2342,2.6178
1,3,0.7973,1.2325,2.6170
1,4,0.7969,1.2312,2.6171
1,5,0.7965,1.2302,2.6174
1,6,0.7965,1.2295,2.6177
1,7,0.7966,1.2291,2.6166
1,8,0.7962,1.2285,2.6165
1,9,0.7964,1.2281,2.6172
1,10,0.7956,1.2281,2.6167
1,11,0.7958,1.2282,2.6167
1,12,0.7966,1.2285,2.6163
1,13,0.7964,1.2286,2.6167
1,14,0.7964,1.2287,2.6166
1,15,0.7959,1.2282,2.6169
17-06-08-02-12-10
Temp,code,VoutIP,Vref,Vout0A
1,0,0.7576,1.2434,2.5893
1,1,0.7563,1.2373,2.5865
1,2,0.7560,1.2347,2.5869
1,3,0.7564,1.2333,2.5854
1,4,0.7560,1.2320,2.5866
1,5,0.7558,1.2310,2.5851
1,6,0.7553,1.2299,2.5854
1,7,0.7552,1.2292,2.5857
1,8,0.7554,1.2287,2.5849
1,9,0.7544,1.2283,2.5851
1,10,0.7559,1.2283,2.5850
1,11,0.7553,1.2280,2.5851
1,12,0.7557,1.2280,2.5852
1,13,0.7550,1.2281,2.5851
1,14,0.7554,1.2282,2.5846
1,15,0.7548,1.2280,2.5848
