17-06-08-01-46-09
Temp,IP,Vout
1,25,0.8016
1,24,0.8734
1,23,0.9453
1,22,1.0174
1,21,1.0895
1,20,1.1618
1,19,1.2348
1,18,1.3063
1,17,1.3789
1,16,1.4509
1,15,1.5230
1,14,1.5942
1,13,1.6670
1,12,1.7391
1,11,1.8118
1,10,1.8838
1,9,1.9554
1,8,2.0270
1,7,2.0999
1,6,2.1718
1,5,2.2433
1,4,2.3155
1,3,2.3869
1,2,2.4584
1,1,2.5299
1,-0,2.6010
1,-1,2.6877
1,-2,2.7615
1,-3,2.8330
1,-4,2.9054
1,-5,2.9775
1,-6,3.0498
1,-7,3.1210
1,-8,3.1936
1,-9,3.2651
1,-10,3.3374
1,-11,3.4095
1,-12,3.4817
1,-13,3.5528
1,-14,3.6254
1,-15,3.6967
1,-16,3.7693
1,-17,3.8418
1,-18,3.9137
1,-19,3.9857
1,-20,4.0579
1,-21,4.1305
1,-22,4.2043
1,-23,4.2766
1,-24,4.3482
1,-25,4.4215
17-06-08-01-52-50
Temp,IP,Vout
1,25,0.7509
1,24,0.8260
1,23,0.9025
1,22,0.9785
1,21,1.0542
1,20,1.1295
1,19,1.2055
1,18,1.2807
1,17,1.3568
1,16,1.4324
1,15,1.5078
1,14,1.5833
1,13,1.6590
1,12,1.7348
1,11,1.8096
1,10,1.8852
1,9,1.9605
1,8,2.0351
1,7,2.1107
1,6,2.1854
1,5,2.2596
1,4,2.3341
1,3,2.4083
1,2,2.4816
1,1,2.5549
1,-0,2.6270
1,-1,2.7421
1,-2,2.8187
1,-3,2.8942
1,-4,2.9680
1,-5,3.0432
1,-6,3.1180
1,-7,3.1927
1,-8,3.2683
1,-9,3.3432
1,-10,3.4192
1,-11,3.4939
1,-12,3.5696
1,-13,3.6457
1,-14,3.7214
1,-15,3.7967
1,-16,3.8720
1,-17,3.9478
1,-18,4.0244
1,-19,4.1004
1,-20,4.1760
1,-21,4.2530
1,-22,4.3295
1,-23,4.4051
1,-24,4.4814
1,-25,4.5565
17-06-08-01-59-46
Temp,IP,Vout
1,25,0.7939
1,24,0.8668
1,23,0.9395
1,22,1.0126
1,21,1.0863
1,20,1.1594
1,19,1.2321
1,18,1.3056
1,17,1.3789
1,16,1.4513
1,15,1.5237
1,14,1.5975
1,13,1.6706
1,12,1.7427
1,11,1.8164
1,10,1.8897
1,9,1.9624
1,8,2.0350
1,7,2.1081
1,6,2.1808
1,5,2.2536
1,4,2.3259
1,3,2.3987
1,2,2.4712
1,1,2.5435
1,-0,2.6155
1,-1,2.7017
1,-2,2.7755
1,-3,2.8484
1,-4,2.9215
1,-5,2.9939
1,-6,3.0667
1,-7,3.1404
1,-8,3.2134
1,-9,3.2858
1,-10,3.3598
1,-11,3.4327
1,-12,3.5057
1,-13,3.5786
1,-14,3.6518
1,-15,3.7246
1,-16,3.7973
1,-17,3.8703
1,-18,3.9433
1,-19,4.0176
1,-20,4.0904
1,-21,4.1633
1,-22,4.2365
1,-23,4.3097
1,-24,4.3831
1,-25,4.4567
17-06-08-02-06-28
Temp,IP,Vout
1,25,0.7519
1,24,0.8261
1,23,0.8993
1,22,0.9726
1,21,1.0466
1,20,1.1209
1,19,1.1945
1,18,1.2685
1,17,1.3426
1,16,1.4157
1,15,1.4888
1,14,1.5633
1,13,1.6370
1,12,1.7103
1,11,1.7837
1,10,1.8576
1,9,1.9302
1,8,2.0041
1,7,2.0771
1,6,2.1493
1,5,2.2235
1,4,2.2959
1,3,2.3686
1,2,2.4401
1,1,2.5119
1,-0,2.5832
1,-1,2.6920
1,-2,2.7669
1,-3,2.8401
1,-4,2.9130
1,-5,2.9861
1,-6,3.0593
1,-7,3.1325
1,-8,3.2050
1,-9,3.2795
1,-10,3.3535
1,-11,3.4266
1,-12,3.5000
1,-13,3.5728
1,-14,3.6467
1,-15,3.7206
1,-16,3.7943
1,-17,3.8686
1,-18,3.9424
1,-19,4.0163
1,-20,4.0911
1,-21,4.1655
1,-22,4.2397
1,-23,4.3138
1,-24,4.3878
1,-25,4.4614
