C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910FineGain-17-04-13-04-09-56.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,0.285,0.285,0.285,0.285,0.285
1,0.284,0.283,0.283,0.284,0.283
2,0.282,0.282,0.282,0.283,0.283
3,0.281,0.281,0.281,0.281,0.282
4,0.280,0.280,0.280,0.281,0.280
5,0.280,0.280,0.280,0.280,0.279
6,0.278,0.279,0.279,0.278,0.279
7,0.278,0.278,0.277,0.278,0.278
8,0.277,0.277,0.277,0.277,0.277
9,0.276,0.276,0.276,0.276,0.276
10,0.275,0.275,0.275,0.275,0.275
11,0.274,0.274,0.274,0.274,0.274
12,0.273,0.274,0.274,0.273,0.273
13,0.272,0.272,0.272,0.273,0.272
14,0.272,0.271,0.271,0.271,0.271
15,0.270,0.271,0.270,0.271,0.270
16,0.270,0.270,0.270,0.269,0.270
17,0.269,0.269,0.268,0.268,0.269
18,0.268,0.268,0.268,0.267,0.268
19,0.267,0.267,0.267,0.267,0.267
20,0.266,0.265,0.266,0.266,0.266
21,0.265,0.264,0.265,0.265,0.265
22,0.264,0.264,0.264,0.264,0.264
23,0.263,0.263,0.263,0.263,0.263
24,0.262,0.262,0.262,0.262,0.262
25,0.261,0.261,0.261,0.261,0.261
26,0.260,0.260,0.260,0.260,0.260
27,0.259,0.259,0.259,0.259,0.259
28,0.258,0.258,0.258,0.258,0.258
29,0.257,0.258,0.257,0.257,0.258
30,0.257,0.257,0.256,0.256,0.257
31,0.256,0.256,0.255,0.255,0.255
