17-06-08-02-58-09,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.8484,1.2301,2.6554
-20,1,0.8429,1.229,2.6563
-20,2,0.8368,1.2289,2.6558
-20,3,0.8319,1.2287,2.6516
-20,4,0.8263,1.2285,2.6564
-20,5,0.8205,1.2284,2.6576
-20,6,0.8175,1.2282,2.654
-20,7,0.8043,1.2281,2.6531
-20,8,0.8004,1.2284,2.6512
-20,9,0.7978,1.2283,2.6577
-20,10,0.788,1.2285,2.6622
-20,11,0.7819,1.2282,2.6651
-20,12,0.7759,1.2281,2.6557
-20,13,0.7708,1.228,2.6581
-20,14,0.7623,1.2283,2.6578
-20,15,0.7594,1.2283,2.6622
17-06-08-03-03-46,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.7545,1.2274,2.6264
-20,1,0.7498,1.2275,2.6272
-20,2,0.7448,1.2272,2.6267
-20,3,0.7396,1.2271,2.6271
-20,4,0.7324,1.2272,2.6262
-20,5,0.7272,1.2267,2.6271
-20,6,0.7225,1.2271,2.6266
-20,7,0.7171,1.2269,2.6259
-20,8,0.7122,1.2272,2.6267
-20,9,0.7063,1.2275,2.6272
-20,10,0.7012,1.2273,2.6274
-20,11,0.6954,1.2275,2.6273
-20,12,0.687,1.2275,2.6273
-20,13,0.6814,1.2275,2.6274
-20,14,0.6755,1.2274,2.6264
-20,15,0.6688,1.2273,2.6271
17-06-08-03-11-40,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.7917,1.2276,2.6086
-20,1,0.7863,1.2276,2.6088
-20,2,0.781,1.2275,2.6081
-20,3,0.7754,1.2276,2.6087
-20,4,0.7691,1.2276,2.6088
-20,5,0.764,1.2274,2.6092
-20,6,0.7566,1.2276,2.6087
-20,7,0.7523,1.2278,2.6101
-20,8,0.7492,1.2275,2.6096
-20,9,0.744,1.2276,2.6103
-20,10,0.7361,1.2276,2.6097
-20,11,0.7312,1.2276,2.6102
-20,12,0.7234,1.2277,2.6098
-20,13,0.7171,1.2277,2.6103
-20,14,0.709,1.2278,2.6103
-20,15,0.703,1.2279,2.6105
17-06-08-03-17-46,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.7519,1.2279,2.5824
-20,1,0.7464,1.2279,2.5831
-20,2,0.7398,1.2279,2.5822
-20,3,0.7345,1.2278,2.5828
-20,4,0.7283,1.2278,2.5832
-20,5,0.7229,1.2276,2.5828
-20,6,0.7153,1.2277,2.5827
-20,7,0.7093,1.228,2.5841
-20,8,0.707,1.228,2.5837
-20,9,0.7003,1.228,2.5841
-20,10,0.6931,1.2281,2.5831
-20,11,0.6862,1.2278,2.5839
-20,12,0.6787,1.2279,2.5841
-20,13,0.6731,1.2281,2.5841
-20,14,0.6643,1.2281,2.5841
-20,15,0.658,1.2284,2.5846
17-06-08-03-23-29,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.9299,1.2282,2.5807
-20,1,0.9253,1.2279,2.5801
-20,2,0.9201,1.2278,2.5804
-20,3,0.9156,1.2278,2.5801
-20,4,0.9112,1.228,2.5804
-20,5,0.9068,1.2277,2.5811
-20,6,0.9009,1.2277,2.5798
-20,7,0.8963,1.2279,2.5804
-20,8,0.8905,1.2279,2.581
-20,9,0.8857,1.2276,2.5813
-20,10,0.8792,1.2278,2.58
-20,11,0.8736,1.2278,2.5818
-20,12,0.8693,1.2277,2.5807
-20,13,0.8642,1.2279,2.581
-20,14,0.8572,1.2278,2.5812
-20,15,0.8521,1.2276,2.5808
17-06-08-03-29-06,,,,
Temp,code,VoutIP,Vref,Vout0A
-20,0,0.8017,1.2279,2.5919
-20,1,0.7976,1.2277,2.5926
-20,2,0.7914,1.2276,2.5927
-20,3,0.787,1.2275,2.5924
-20,4,0.7807,1.2278,2.593
-20,5,0.7763,1.2277,2.5929
-20,6,0.7707,1.2278,2.5933
-20,7,0.7659,1.2278,2.5938
-20,8,0.7623,1.2276,2.5937
-20,9,0.7575,1.2276,2.5945
-20,10,0.7512,1.2276,2.5938
-20,11,0.7457,1.2278,2.5941
-20,12,0.7391,1.2278,2.594
-20,13,0.7339,1.2279,2.5949
-20,14,0.7275,1.2279,2.5941
-20,15,0.7213,1.2279,2.5942
