17-06-08-02-54-45,,
Temp,IP,Vout
-20,25,0.8459
-20,24,0.9183
-20,23,0.9911
-20,22,1.0635
-20,21,1.1361
-20,20,1.2092
-20,19,1.2823
-20,18,1.3554
-20,17,1.4281
-20,16,1.5012
-20,15,1.5744
-20,14,1.6471
-20,13,1.7193
-20,12,1.7925
-20,11,1.865
-20,10,1.9371
-20,9,2.0098
-20,8,2.082
-20,7,2.155
-20,6,2.2258
-20,5,2.2974
-20,4,2.3696
-20,3,2.4413
-20,2,2.5122
-20,1,2.5824
-20,0,2.653
-20,-1,2.7623
-20,-2,2.8351
-20,-3,2.9081
-20,-4,2.9798
-20,-5,3.0518
-20,-6,3.1233
-20,-7,3.1959
-20,-8,3.2689
-20,-9,3.3417
-20,-10,3.4147
-20,-11,3.4869
-20,-12,3.5597
-20,-13,3.6328
-20,-14,3.7053
-20,-15,3.7783
-20,-16,3.8521
-20,-17,3.9244
-20,-18,3.9978
-20,-19,4.0708
-20,-20,4.1435
-20,-21,4.2172
-20,-22,4.2905
-20,-23,4.364
-20,-24,4.4364
-20,-25,4.5103
17-06-08-03-00-19,,
Temp,IP,Vout
-20,25,0.7512
-20,24,0.8262
-20,23,0.9018
-20,22,0.9772
-20,21,1.0526
-20,20,1.1279
-20,19,1.2037
-20,18,1.2798
-20,17,1.3551
-20,16,1.4304
-20,15,1.5059
-20,14,1.5801
-20,13,1.656
-20,12,1.731
-20,11,1.8068
-20,10,1.8821
-20,9,1.9571
-20,8,2.0315
-20,7,2.1066
-20,6,2.1806
-20,5,2.2559
-20,4,2.3298
-20,3,2.4036
-20,2,2.4771
-20,1,2.5503
-20,0,2.6228
-20,-1,2.7358
-20,-2,2.812
-20,-3,2.8867
-20,-4,2.9619
-20,-5,3.0364
-20,-6,3.1108
-20,-7,3.1857
-20,-8,3.261
-20,-9,3.3369
-20,-10,3.4122
-20,-11,3.4866
-20,-12,3.5615
-20,-13,3.637
-20,-14,3.7127
-20,-15,3.7883
-20,-16,3.8645
-20,-17,3.94
-20,-18,4.0151
-20,-19,4.0921
-20,-20,4.1676
-20,-21,4.2439
-20,-22,4.3198
-20,-23,4.3962
-20,-24,4.4716
-20,-25,4.5463
17-06-08-03-05-52,,
Temp,IP,Vout
-20,25,0.7908
-20,24,0.8627
-20,23,0.9363
-20,22,1.0092
-20,21,1.0813
-20,20,1.1537
-20,19,1.2265
