C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910Linearity-117-04-15-11-35-21.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
20,-5.3427,-5.3425,-5.3427,-5.3426,-5.3425
19,-5.0749,-5.0744,-5.0746,-5.0742,-5.0739
18,-4.8067,-4.8067,-4.8066,-4.8066,-4.8068
17,-4.5392,-4.5389,-4.5390,-4.5390,-4.5391
16,-4.2718,-4.2722,-4.2721,-4.2718,-4.2719
15,-4.0043,-4.0042,-4.0047,-4.0045,-4.0044
14,-3.7371,-3.7372,-3.7373,-3.7373,-3.7375
13,-3.4697,-3.4699,-3.4697,-3.4697,-3.4699
12,-3.2025,-3.2025,-3.2023,-3.2026,-3.2022
11,-2.9357,-2.9351,-2.9352,-2.9351,-2.9355
10,-2.6682,-2.6678,-2.6678,-2.6683,-2.6683
9,-2.4006,-2.4008,-2.4006,-2.4005,-2.4006
8,-2.1334,-2.1332,-2.1332,-2.1336,-2.1333
7,-1.8662,-1.8661,-1.8659,-1.8665,-1.8664
6,-1.5995,-1.5992,-1.5990,-1.5994,-1.5990
5,-1.3324,-1.3328,-1.3323,-1.3322,-1.3324
4,-1.0649,-1.0651,-1.0652,-1.0648,-1.0650
3,-0.7975,-0.7975,-0.7976,-0.7975,-0.7976
2,-0.5308,-0.5306,-0.5306,-0.5304,-0.5307
1,-0.2635,-0.2632,-0.2634,-0.2633,-0.2637
0,0.0431,0.0432,0.0433,0.0434,0.0435
1,0.3150,0.3151,0.3152,0.3154,0.3153
2,0.5850,0.5850,0.5850,0.5851,0.5848
3,0.8533,0.8533,0.8534,0.8536,0.8532
4,1.1220,1.1217,1.1218,1.1218,1.1217
5,1.3901,1.3902,1.3902,1.3904,1.3903
6,1.6579,1.6580,1.6578,1.6579,1.6582
7,1.9258,1.9254,1.9256,1.9256,1.9257
8,2.1934,2.1931,2.1933,2.1935,2.1933
9,2.4608,2.4613,2.4611,2.4614,2.4614
10,2.7291,2.7290,2.7291,2.7293,2.7292
11,2.9970,2.9973,2.9971,2.9972,2.9971
12,3.2647,3.2648,3.2649,3.2651,3.2647
13,3.5331,3.5325,3.5328,3.5325,3.5326
14,3.8006,3.8007,3.8009,3.8008,3.8012
15,4.0683,4.0686,4.0686,4.0684,4.0687
16,4.3366,4.3366,4.3367,4.3362,4.3361
17,4.6040,4.6041,4.6041,4.6036,4.6036
18,4.8713,4.8714,4.8711,4.8712,4.8710
19,5.1386,5.1390,5.1392,5.1389,5.1391
20,5.4065,5.4066,5.4066,5.4064,5.4065
