C:\Users\Hao\Documents\GitHub\SKCS_GUI_AUTO\SenkoMicro-SKCS-GUI - auto\OneWire_GUI_CurrentSensor_v3\CurrentSensorV3\bin\Release\Sweep910RoughGain-1-17-04-15-12-22-23.csv
IP,Vout1,Vout2,Vout3,Vout4,Vout5
0,5.4136,5.4136,5.4138,5.4135,5.4136
1,4.7537,4.7540,4.7539,4.7541,4.7538
2,4.1356,4.1355,4.1359,4.1358,4.1359
3,3.6048,3.6047,3.6049,3.6048,3.6050
4,3.1463,3.1464,3.1465,3.1465,3.1463
5,2.7394,2.7395,2.7395,2.7394,2.7395
6,2.3940,2.3941,2.3945,2.3943,2.3943
7,2.0846,2.0846,2.0846,2.0847,2.0848
8,1.8312,1.8312,1.8313,1.8311,1.8311
9,1.5930,1.5930,1.5930,1.5931,1.5932
10,1.3961,1.3959,1.3960,1.3962,1.3961
11,1.2193,1.2194,1.2194,1.2192,1.2192
12,1.0686,1.0686,1.0686,1.0684,1.0688
13,0.9338,0.9337,0.9337,0.9337,0.9338
14,0.8202,0.8204,0.8201,0.8204,0.8205
15,0.7199,0.7199,0.7198,0.7199,0.7197
